gene_id	gene_type	gene_name
ENSG00000131584	protein_coding	ACAP3
ENSG00000169972	protein_coding	PUSL1
ENSG00000127054	protein_coding	INTS11
ENSG00000240731	lncRNA	AL139287.1
ENSG00000224051	protein_coding	CPTP
ENSG00000169962	protein_coding	TAS1R3
ENSG00000107404	protein_coding	DVL1
ENSG00000162576	protein_coding	MXRA8
ENSG00000175756	protein_coding	AURKAIP1
ENSG00000221978	protein_coding	CCNL2
ENSG00000224870	lncRNA	MRPL20-AS1
ENSG00000242485	protein_coding	MRPL20
ENSG00000272455	lncRNA	AL391244.2
ENSG00000235098	protein_coding	ANKRD65
ENSG00000225905	lncRNA	AL391244.1
ENSG00000205116	protein_coding	TMEM88B
ENSG00000225285	lncRNA	LINC01770
ENSG00000179403	protein_coding	VWA1
ENSG00000215915	protein_coding	ATAD3C
ENSG00000160072	protein_coding	ATAD3B
ENSG00000197785	protein_coding	ATAD3A
ENSG00000205090	protein_coding	TMEM240
ENSG00000160075	protein_coding	SSU72
ENSG00000215014	lncRNA	AL645728.1
ENSG00000228594	protein_coding	FNDC10
ENSG00000286989	lncRNA	AL691432.4
ENSG00000272106	lncRNA	AL691432.2
ENSG00000197530	protein_coding	MIB2
ENSG00000189409	protein_coding	MMP23B
ENSG00000248333	protein_coding	CDK11B
ENSG00000272004	lncRNA	FO704657.1
ENSG00000189339	protein_coding	SLC35E2B
ENSG00000008128	protein_coding	CDK11A
ENSG00000215790	protein_coding	SLC35E2A
ENSG00000008130	protein_coding	NADK
ENSG00000078369	protein_coding	GNB1
ENSG00000231050	lncRNA	AL109917.1
ENSG00000169885	protein_coding	CALML6
ENSG00000178821	protein_coding	TMEM52
ENSG00000142609	protein_coding	CFAP74
ENSG00000233542	lncRNA	AL391845.2
ENSG00000187730	protein_coding	GABRD
ENSG00000226969	lncRNA	AL391845.1
ENSG00000067606	protein_coding	PRKCZ
ENSG00000271806	lncRNA	AL590822.2
ENSG00000182873	lncRNA	PRKCZ-AS1
ENSG00000162585	protein_coding	FAAP20
ENSG00000234396	lncRNA	AL590822.1
ENSG00000157933	protein_coding	SKI
ENSG00000287356	lncRNA	AL590822.3
ENSG00000116151	protein_coding	MORN1
ENSG00000272161	lncRNA	AL589739.1
ENSG00000272420	lncRNA	AL513477.2
ENSG00000157916	protein_coding	RER1
ENSG00000157911	protein_coding	PEX10
ENSG00000149527	protein_coding	PLCH2
ENSG00000224387	lncRNA	AL139246.1
ENSG00000229393	lncRNA	AL139246.4
ENSG00000157881	protein_coding	PANK4
ENSG00000197921	protein_coding	HES5
ENSG00000272449	lncRNA	AL139246.5
ENSG00000238164	lncRNA	TNFRSF14-AS1
ENSG00000157873	protein_coding	TNFRSF14
ENSG00000228037	lncRNA	AL139246.3
ENSG00000157870	protein_coding	PRXL2B
ENSG00000142606	protein_coding	MMEL1
ENSG00000237058	lncRNA	AL831784.1
ENSG00000215912	protein_coding	TTC34
ENSG00000285945	lncRNA	AC242022.2
ENSG00000283259	lncRNA	AC242022.1
ENSG00000233234	lncRNA	AL592464.2
ENSG00000287396	lncRNA	AL592464.3
ENSG00000231630	lncRNA	AL592464.1
ENSG00000284745	lncRNA	AL589702.1
ENSG00000169717	protein_coding	ACTRT2
ENSG00000177133	lncRNA	PRDM16-DT
ENSG00000142611	protein_coding	PRDM16
ENSG00000226286	lncRNA	AL008733.1
ENSG00000272235	lncRNA	AL590438.1
ENSG00000287828	lncRNA	AL354743.2
ENSG00000286518	lncRNA	AL354743.1
ENSG00000130762	protein_coding	ARHGEF16
ENSG00000272088	lncRNA	AL512413.1
ENSG00000162591	protein_coding	MEGF6
ENSG00000238260	lncRNA	AL513320.1
ENSG00000158109	protein_coding	TPRG1L
ENSG00000116213	protein_coding	WRAP73
ENSG00000078900	protein_coding	TP73
ENSG00000227589	lncRNA	AL136528.1
ENSG00000235131	lncRNA	AL136528.2
ENSG00000162592	protein_coding	CCDC27
ENSG00000235169	protein_coding	SMIM1
ENSG00000130764	protein_coding	LRRC47
ENSG00000272153	lncRNA	AL365330.1
ENSG00000116198	protein_coding	CEP104
ENSG00000169598	protein_coding	DFFB
ENSG00000198912	protein_coding	C1orf174
ENSG00000236423	lncRNA	LINC01134
ENSG00000233304	lncRNA	LINC01346
ENSG00000226374	lncRNA	LINC01345
ENSG00000284668	lncRNA	LINC02780
ENSG00000284703	lncRNA	AL805961.1
ENSG00000235054	lncRNA	LINC01777
ENSG00000284694	lncRNA	AL355602.1
ENSG00000227169	lncRNA	Z98747.1
ENSG00000232596	lncRNA	LINC01646
ENSG00000196581	protein_coding	AJAP1
ENSG00000287586	lncRNA	Z98886.1
ENSG00000284739	lncRNA	BX005132.1
ENSG00000284674	lncRNA	LINC02781
ENSG00000231510	lncRNA	LINC02782
ENSG00000284616	lncRNA	AL139823.1
ENSG00000284692	lncRNA	Z98259.3
ENSG00000284666	lncRNA	Z98259.2
ENSG00000260972	lncRNA	Z98259.1
ENSG00000236948	lncRNA	AL365255.1
ENSG00000131697	protein_coding	NPHP4
ENSG00000069424	protein_coding	KCNAB2
ENSG00000116254	protein_coding	CHD5
ENSG00000116251	protein_coding	RPL22
ENSG00000226944	lncRNA	AL031847.1
ENSG00000158286	protein_coding	RNF207
ENSG00000116237	protein_coding	ICMT
ENSG00000225077	lncRNA	LINC00337
ENSG00000173673	protein_coding	HES3
ENSG00000158292	protein_coding	GPR153
ENSG00000097021	protein_coding	ACOT7
ENSG00000271746	lncRNA	AL031848.2
ENSG00000069812	protein_coding	HES2
ENSG00000187017	protein_coding	ESPN
ENSG00000231868	lncRNA	AL031848.1
ENSG00000215788	protein_coding	TNFRSF25
ENSG00000171680	protein_coding	PLEKHG5
ENSG00000162408	protein_coding	NOL9
ENSG00000173662	protein_coding	TAS1R1
ENSG00000204859	protein_coding	ZBTB48
ENSG00000162413	protein_coding	KLHL21
ENSG00000116273	protein_coding	PHF13
ENSG00000041988	protein_coding	THAP3
ENSG00000007923	protein_coding	DNAJC11
ENSG00000228750	lncRNA	LINC01672
ENSG00000284744	lncRNA	AL591163.1
ENSG00000237436	lncRNA	CAMTA1-DT
ENSG00000171735	protein_coding	CAMTA1
ENSG00000237365	lncRNA	AL512330.1
ENSG00000237402	lncRNA	CAMTA1-IT1
ENSG00000237728	lncRNA	Z97987.1
ENSG00000225126	lncRNA	AL365194.1
ENSG00000270171	lncRNA	AL359881.3
ENSG00000270035	lncRNA	AL359881.2
ENSG00000269978	lncRNA	AL359881.1
ENSG00000049245	protein_coding	VAMP3
ENSG00000269925	lncRNA	Z98884.2
ENSG00000049246	protein_coding	PER3
ENSG00000236266	lncRNA	Z98884.1
ENSG00000049247	protein_coding	UTS2
ENSG00000049249	protein_coding	TNFRSF9
ENSG00000116288	protein_coding	PARK7
ENSG00000284747	lncRNA	AL034417.4
ENSG00000284716	lncRNA	AL034417.3
ENSG00000116285	protein_coding	ERRFI1
ENSG00000238290	lncRNA	AL034417.2
ENSG00000227634	lncRNA	LINC01714
ENSG00000233645	lncRNA	AL358876.2
ENSG00000162426	protein_coding	SLC45A1
ENSG00000142599	protein_coding	RERE
ENSG00000232912	lncRNA	RERE-AS1
ENSG00000228423	lncRNA	AL357552.2
ENSG00000074800	protein_coding	ENO1
ENSG00000230679	lncRNA	ENO1-AS1
ENSG00000131686	protein_coding	CA6
ENSG00000197241	protein_coding	SLC2A7
ENSG00000142583	protein_coding	SLC2A5
ENSG00000180758	protein_coding	GPR157
ENSG00000228526	lncRNA	MIR34AHG
ENSG00000234546	lncRNA	LNCTAM34A
ENSG00000049239	protein_coding	H6PD
ENSG00000171621	protein_coding	SPSB1
ENSG00000284652	lncRNA	BX323043.1
ENSG00000284693	lncRNA	LINC02606
ENSG00000235263	lncRNA	AL928921.1
ENSG00000171612	protein_coding	SLC25A33
ENSG00000188807	protein_coding	TMEM201
ENSG00000171608	protein_coding	PIK3CD
ENSG00000179840	lncRNA	PIK3CD-AS1
ENSG00000231789	lncRNA	PIK3CD-AS2
ENSG00000171603	protein_coding	CLSTN1
ENSG00000178585	protein_coding	CTNNBIP1
ENSG00000223989	lncRNA	AL357140.1
ENSG00000285701	lncRNA	AL357140.4
ENSG00000162441	protein_coding	LZIC
ENSG00000228150	lncRNA	AL357140.2
ENSG00000173614	protein_coding	NMNAT1
ENSG00000241326	lncRNA	AL603962.1
ENSG00000162444	protein_coding	RBP7
ENSG00000130939	protein_coding	UBE4B
ENSG00000054523	protein_coding	KIF1B
ENSG00000284735	lncRNA	AL139424.3
ENSG00000284642	lncRNA	AL139424.2
ENSG00000142657	protein_coding	PGD
ENSG00000271989	lncRNA	AL139424.1
ENSG00000175279	protein_coding	CENPS
ENSG00000241563	protein_coding	CORT
ENSG00000160049	protein_coding	DFFA
ENSG00000203469	lncRNA	AL354956.1
ENSG00000142655	protein_coding	PEX14
ENSG00000287727	lncRNA	AL139423.2
ENSG00000130940	protein_coding	CASZ1
ENSG00000272078	lncRNA	AL139423.1
ENSG00000175262	protein_coding	C1orf127
ENSG00000120948	protein_coding	TARDBP
ENSG00000009724	protein_coding	MASP2
ENSG00000271895	lncRNA	AL109811.2
ENSG00000116649	protein_coding	SRM
ENSG00000171824	protein_coding	EXOSC10
ENSG00000226849	lncRNA	AL109811.1
ENSG00000230337	lncRNA	EXOSC10-AS1
ENSG00000198793	protein_coding	MTOR
ENSG00000225602	lncRNA	MTOR-AS1
ENSG00000171819	protein_coding	ANGPTL7
ENSG00000120942	protein_coding	UBIAD1
ENSG00000284646	lncRNA	AL031291.1
ENSG00000204624	protein_coding	DISP3
ENSG00000285833	lncRNA	AL590989.1
ENSG00000235643	lncRNA	LINC01647
ENSG00000284708	lncRNA	AL031731.1
ENSG00000116661	protein_coding	FBXO2
ENSG00000132879	protein_coding	FBXO44
ENSG00000116663	protein_coding	FBXO6
ENSG00000116670	protein_coding	MAD2L2
ENSG00000162490	protein_coding	DRAXIN
ENSG00000177674	protein_coding	AGTRAP
ENSG00000215910	protein_coding	C1orf167
ENSG00000177553	lncRNA	AL953897.1
ENSG00000177000	protein_coding	MTHFR
ENSG00000011021	protein_coding	CLCN6
ENSG00000175206	protein_coding	NPPA
ENSG00000120937	protein_coding	NPPB
ENSG00000285646	lncRNA	AL021155.5
ENSG00000116685	protein_coding	KIAA2013
ENSG00000083444	protein_coding	PLOD1
ENSG00000287384	lncRNA	AL096840.2
ENSG00000116688	protein_coding	MFN2
ENSG00000116691	protein_coding	MIIP
ENSG00000120949	protein_coding	TNFRSF8
ENSG00000285604	lncRNA	AL357835.1
ENSG00000028137	protein_coding	TNFRSF1B
ENSG00000048707	protein_coding	VPS13D
ENSG00000229484	lncRNA	LINC02766
ENSG00000162496	protein_coding	DHRS3
ENSG00000272482	lncRNA	AC254633.1
ENSG00000204518	protein_coding	AADACL4
ENSG00000188984	protein_coding	AADACL3
ENSG00000157330	protein_coding	C1orf158
ENSG00000116726	protein_coding	PRAMEF12
ENSG00000116721	protein_coding	PRAMEF1
ENSG00000228338	lncRNA	LINC01784
ENSG00000239810	protein_coding	PRAMEF11
ENSG00000179172	protein_coding	HNRNPCL1
ENSG00000120952	protein_coding	PRAMEF2
ENSG00000243073	protein_coding	PRAMEF4
ENSG00000187545	protein_coding	PRAMEF10
ENSG00000204510	protein_coding	PRAMEF7
ENSG00000232423	protein_coding	PRAMEF6
ENSG00000274764	protein_coding	PRAMEF27
ENSG00000277058	protein_coding	HNRNPCL3
ENSG00000229571	protein_coding	PRAMEF25
ENSG00000275774	protein_coding	HNRNPCL2
ENSG00000233336	lncRNA	AC245056.1
ENSG00000280267	protein_coding	PRAMEF26
ENSG00000179412	protein_coding	HNRNPCL4
ENSG00000204505	protein_coding	PRAMEF9
ENSG00000279169	protein_coding	PRAMEF13
ENSG00000279804	protein_coding	PRAMEF18
ENSG00000270601	protein_coding	PRAMEF5
ENSG00000182330	protein_coding	PRAMEF8
ENSG00000237700	protein_coding	PRAMEF33
ENSG00000204501	protein_coding	PRAMEF15
ENSG00000228229	lncRNA	AC243961.1
ENSG00000204481	protein_coding	PRAMEF14
ENSG00000204480	protein_coding	PRAMEF19
ENSG00000204479	protein_coding	PRAMEF17
ENSG00000204478	protein_coding	PRAMEF20
ENSG00000162494	protein_coding	LRRC38
ENSG00000259961	lncRNA	AL354712.1
ENSG00000162493	protein_coding	PDPN
ENSG00000237445	lncRNA	AL359771.1
ENSG00000116731	protein_coding	PRDM2
ENSG00000189337	protein_coding	KAZN
ENSG00000231606	lncRNA	AL357873.1
ENSG00000234593	lncRNA	KAZN-AS1
ENSG00000287756	lncRNA	AL031293.1
ENSG00000175147	lncRNA	TMEM51-AS1
ENSG00000171729	protein_coding	TMEM51
ENSG00000204464	lncRNA	C1orf195
ENSG00000142621	protein_coding	FHAD1
ENSG00000233485	lncRNA	AL031283.2
ENSG00000236045	lncRNA	AL031283.3
ENSG00000228140	lncRNA	AL031283.1
ENSG00000142634	protein_coding	EFHD2
ENSG00000162438	protein_coding	CTRC
ENSG00000142615	protein_coding	CELA2A
ENSG00000215704	protein_coding	CELA2B
ENSG00000132906	protein_coding	CASP9
ENSG00000116138	protein_coding	DNAJC16
ENSG00000272510	lncRNA	AL121992.3
ENSG00000116771	protein_coding	AGMAT
ENSG00000237301	lncRNA	AL121992.1
ENSG00000197312	protein_coding	DDI2
ENSG00000215695	protein_coding	RSC1A1
ENSG00000271742	lncRNA	AL121992.2
ENSG00000116786	protein_coding	PLEKHM2
ENSG00000237938	lncRNA	AL450998.3
ENSG00000162461	protein_coding	SLC25A34
ENSG00000224459	lncRNA	SLC25A34-AS1
ENSG00000162460	protein_coding	TMEM82
ENSG00000162458	protein_coding	FBLIM1
ENSG00000233954	protein_coding	UQCRHL
ENSG00000179743	lncRNA	AL450998.2
ENSG00000065526	protein_coding	SPEN
ENSG00000116809	protein_coding	ZBTB17
ENSG00000183888	protein_coding	SRARP
ENSG00000233078	lncRNA	AL355994.3
ENSG00000173641	protein_coding	HSPB7
ENSG00000186510	protein_coding	CLCNKA
ENSG00000184908	protein_coding	CLCNKB
ENSG00000185519	protein_coding	FAM131C
ENSG00000142627	protein_coding	EPHA2
ENSG00000227959	lncRNA	AL451042.2
ENSG00000224621	lncRNA	AL451042.1
ENSG00000234166	lncRNA	ARHGEF19-AS1
ENSG00000142632	protein_coding	ARHGEF19
ENSG00000288398	lncRNA	AL109627.1
ENSG00000132881	protein_coding	CPLANE2
ENSG00000037637	protein_coding	FBXO42
ENSG00000055070	protein_coding	SZRD1
ENSG00000187144	protein_coding	SPATA21
ENSG00000157191	protein_coding	NECAP2
ENSG00000226029	lncRNA	LINC01772
ENSG00000261135	lncRNA	AL137802.2
ENSG00000224174	lncRNA	AL137802.1
ENSG00000233421	lncRNA	LINC01783
ENSG00000219481	protein_coding	NBPF1
ENSG00000271732	lncRNA	AL137798.1
ENSG00000282143	lncRNA	AL137798.2
ENSG00000279151	lncRNA	AL021920.1
ENSG00000282740	lncRNA	AL021920.3
ENSG00000058453	protein_coding	CROCC
ENSG00000223643	lncRNA	BX284668.1
ENSG00000228549	lncRNA	BX284668.2
ENSG00000238142	lncRNA	BX284668.5
ENSG00000272426	lncRNA	BX284668.6
ENSG00000117122	protein_coding	MFAP2
ENSG00000286898	lncRNA	AL049569.2
ENSG00000226526	lncRNA	AL049569.1
ENSG00000159363	protein_coding	ATP13A2
ENSG00000117118	protein_coding	SDHB
ENSG00000117115	protein_coding	PADI2
ENSG00000204362	lncRNA	LINC02783
ENSG00000282843	lncRNA	AL590644.1
ENSG00000142623	protein_coding	PADI1
ENSG00000142619	protein_coding	PADI3
ENSG00000159339	protein_coding	PADI4
ENSG00000276747	protein_coding	PADI6
ENSG00000227751	lncRNA	RCC2-AS1
ENSG00000179051	protein_coding	RCC2
ENSG00000074964	protein_coding	ARHGEF10L
ENSG00000236648	lncRNA	LINC02810
ENSG00000117148	protein_coding	ACTL8
ENSG00000284653	lncRNA	AL357509.1
ENSG00000261781	lncRNA	LINC01654
ENSG00000117154	protein_coding	IGSF21
ENSG00000230035	lncRNA	IGSF21-AS1
ENSG00000225387	lncRNA	AL591896.1
ENSG00000179023	protein_coding	KLHDC7A
ENSG00000009709	protein_coding	PAX7
ENSG00000179002	protein_coding	TAS1R2
ENSG00000159423	protein_coding	ALDH4A1
ENSG00000169991	protein_coding	IFFO2
ENSG00000272084	lncRNA	AL137127.1
ENSG00000127481	protein_coding	UBR4
ENSG00000230424	lncRNA	EMC1-AS1
ENSG00000127463	protein_coding	EMC1
ENSG00000053372	protein_coding	MRTO4
ENSG00000162482	protein_coding	AKR7A3
ENSG00000053371	protein_coding	AKR7A2
ENSG00000040487	protein_coding	SLC66A1
ENSG00000077549	protein_coding	CAPZB
ENSG00000173436	protein_coding	MICOS10
ENSG00000235185	lncRNA	AL031727.2
ENSG00000158747	protein_coding	NBL1
ENSG00000158748	protein_coding	HTR6
ENSG00000162542	protein_coding	TMCO4
ENSG00000178828	protein_coding	RNF186
ENSG00000235434	lncRNA	AL391883.1
ENSG00000169914	protein_coding	OTUD3
ENSG00000188784	protein_coding	PLA2G2E
ENSG00000188257	protein_coding	PLA2G2A
ENSG00000127472	protein_coding	PLA2G5
ENSG00000117215	protein_coding	PLA2G2D
ENSG00000158786	protein_coding	PLA2G2F
ENSG00000227066	lncRNA	Z98257.1
ENSG00000187980	protein_coding	PLA2G2C
ENSG00000225986	lncRNA	UBXN10-AS1
ENSG00000162543	protein_coding	UBXN10
ENSG00000228105	lncRNA	LINC01757
ENSG00000284710	lncRNA	Z98257.2
ENSG00000158816	protein_coding	VWA5B1
ENSG00000226664	lncRNA	AL020998.1
ENSG00000236963	lncRNA	LINC01141
ENSG00000226487	lncRNA	AL139254.1
ENSG00000284641	lncRNA	AL139254.2
ENSG00000284743	lncRNA	AL139254.3
ENSG00000162545	protein_coding	CAMK2N1
ENSG00000090432	protein_coding	MUL1
ENSG00000183114	protein_coding	FAM43B
ENSG00000158825	protein_coding	CDA
ENSG00000158828	protein_coding	PINK1
ENSG00000117242	lncRNA	PINK1-AS
ENSG00000244038	protein_coding	DDOST
ENSG00000117245	protein_coding	KIF17
ENSG00000189410	protein_coding	SH2D5
ENSG00000233069	lncRNA	AL663074.1
ENSG00000127483	protein_coding	HP1BP3
ENSG00000075151	protein_coding	EIF4G3
ENSG00000287192	lncRNA	AL031005.2
ENSG00000117298	protein_coding	ECE1
ENSG00000236936	lncRNA	AL031005.1
ENSG00000231105	lncRNA	AL031728.1
ENSG00000236009	lncRNA	AL592309.2
ENSG00000142794	protein_coding	NBPF3
ENSG00000162551	protein_coding	ALPL
ENSG00000233431	lncRNA	LINC02596
ENSG00000076864	protein_coding	RAP1GAP
ENSG00000090686	protein_coding	USP48
ENSG00000187942	protein_coding	LDLRAD2
ENSG00000142798	protein_coding	HSPG2
ENSG00000219073	protein_coding	CELA3B
ENSG00000142789	protein_coding	CELA3A
ENSG00000228397	lncRNA	LINC01635
ENSG00000218510	lncRNA	LINC00339
ENSG00000070831	protein_coding	CDC42
ENSG00000285752	lncRNA	CDC42-AS1
ENSG00000230068	lncRNA	CDC42-IT1
ENSG00000162552	protein_coding	WNT4
ENSG00000285873	lncRNA	AL445253.1
ENSG00000184677	protein_coding	ZBTB40
ENSG00000237200	lncRNA	ZBTB40-IT1
ENSG00000070886	protein_coding	EPHA8
ENSG00000173372	protein_coding	C1QA
ENSG00000159189	protein_coding	C1QC
ENSG00000173369	protein_coding	C1QB
ENSG00000133216	protein_coding	EPHB2
ENSG00000225952	lncRNA	AL512444.1
ENSG00000215906	protein_coding	LACTBL1
ENSG00000227868	protein_coding	TEX46
ENSG00000004487	protein_coding	KDM1A
ENSG00000240553	lncRNA	AL031428.1
ENSG00000169641	protein_coding	LUZP1
ENSG00000179546	protein_coding	HTR1D
ENSG00000261326	lncRNA	LINC01355
ENSG00000284726	lncRNA	AL109936.6
ENSG00000125944	protein_coding	HNRNPR
ENSG00000125945	protein_coding	ZNF436
ENSG00000249087	lncRNA	ZNF436-AS1
ENSG00000271420	lncRNA	AL109936.2
ENSG00000204219	protein_coding	TCEA3
ENSG00000088280	protein_coding	ASAP3
ENSG00000007968	protein_coding	E2F2
ENSG00000235052	lncRNA	AL021154.1
ENSG00000117318	protein_coding	ID3
ENSG00000285802	lncRNA	AL450043.1
ENSG00000197880	lncRNA	MDS2
ENSG00000142676	protein_coding	RPL11
ENSG00000236810	lncRNA	ELOA-AS1
ENSG00000011007	protein_coding	ELOA
ENSG00000057757	protein_coding	PITHD1
ENSG00000011009	protein_coding	LYPLA2
ENSG00000117308	protein_coding	GALE
ENSG00000117305	protein_coding	HMGCL
ENSG00000179163	protein_coding	FUCA1
ENSG00000188822	protein_coding	CNR2
ENSG00000232557	lncRNA	AL590609.3
ENSG00000189266	protein_coding	PNRC2
ENSG00000188529	protein_coding	SRSF10
ENSG00000225315	lncRNA	AL591178.1
ENSG00000142661	protein_coding	MYOM3
ENSG00000230703	lncRNA	AL591178.2
ENSG00000142677	protein_coding	IL22RA1
ENSG00000185436	protein_coding	IFNLR1
ENSG00000230023	lncRNA	LINC02800
ENSG00000232298	lncRNA	AL138902.1
ENSG00000158055	protein_coding	GRHL3
ENSG00000001460	protein_coding	STPG1
ENSG00000001461	protein_coding	NIPAL3
ENSG00000286061	lncRNA	RCAN3AS
ENSG00000117602	protein_coding	RCAN3
ENSG00000264443	lncRNA	NCMAP-DT
ENSG00000184454	protein_coding	NCMAP
ENSG00000133226	protein_coding	SRRM1
ENSG00000284699	lncRNA	AL445648.1
ENSG00000169504	protein_coding	CLIC4
ENSG00000020633	protein_coding	RUNX3
ENSG00000229162	lncRNA	AL445471.1
ENSG00000261025	lncRNA	AL445471.2
ENSG00000285823	lncRNA	LINC02793
ENSG00000233755	lncRNA	AL050344.1
ENSG00000231953	lncRNA	AL031432.1
ENSG00000117614	protein_coding	SYF2
ENSG00000284602	lncRNA	AL031432.4
ENSG00000284657	lncRNA	AL031432.5
ENSG00000117616	protein_coding	RSRP1
ENSG00000272432	lncRNA	AL031432.3
ENSG00000187010	protein_coding	RHD
ENSG00000183726	protein_coding	TMEM50A
ENSG00000188672	protein_coding	RHCE
ENSG00000204178	protein_coding	MACO1
ENSG00000157978	protein_coding	LDLRAP1
ENSG00000225643	lncRNA	AL606491.1
ENSG00000117643	protein_coding	MAN1C1
ENSG00000233478	lncRNA	AL031280.1
ENSG00000162430	protein_coding	SELENON
ENSG00000228172	lncRNA	AL020996.1
ENSG00000117640	protein_coding	MTFR1L
ENSG00000272478	lncRNA	AL020996.3
ENSG00000127423	protein_coding	AUNIP
ENSG00000236528	lncRNA	AL033528.2
ENSG00000182749	protein_coding	PAQR7
ENSG00000117632	protein_coding	STMN1
ENSG00000158006	protein_coding	PAFAH2
ENSG00000158008	protein_coding	EXTL1
ENSG00000158014	protein_coding	SLC30A2
ENSG00000284309	lncRNA	AL391650.2
ENSG00000158022	protein_coding	TRIM63
ENSG00000175087	protein_coding	PDIK1L
ENSG00000197245	protein_coding	FAM110D
ENSG00000282872	protein_coding	C1orf232
ENSG00000236782	protein_coding	AL391650.1
ENSG00000142684	protein_coding	ZNF593
ENSG00000142675	protein_coding	CNKSR1
ENSG00000188782	protein_coding	CATSPER4
ENSG00000130695	protein_coding	CEP85
ENSG00000142669	protein_coding	SH3BGRL3
ENSG00000158062	protein_coding	UBXN11
ENSG00000169442	protein_coding	CD52
ENSG00000176092	protein_coding	CRYBG2
ENSG00000176083	protein_coding	ZNF683
ENSG00000131914	protein_coding	LIN28A
ENSG00000117682	protein_coding	DHDDS
ENSG00000225891	lncRNA	AL513365.2
ENSG00000198830	protein_coding	HMGN2
ENSG00000117676	protein_coding	RPS6KA1
ENSG00000260063	lncRNA	AL512408.1
ENSG00000117713	protein_coding	ARID1A
ENSG00000060642	protein_coding	PIGV
ENSG00000204160	protein_coding	ZDHHC18
ENSG00000175793	protein_coding	SFN
ENSG00000142751	protein_coding	GPN2
ENSG00000226698	lncRNA	AL034380.1
ENSG00000198746	protein_coding	GPATCH3
ENSG00000090273	protein_coding	NUDC
ENSG00000131910	protein_coding	NR0B2
ENSG00000175707	protein_coding	KDF1
ENSG00000253368	protein_coding	TRNP1
ENSG00000158246	protein_coding	TENT5B
ENSG00000090020	protein_coding	SLC9A1
ENSG00000224311	lncRNA	AL590640.1
ENSG00000142784	protein_coding	WDTC1
ENSG00000186501	protein_coding	TMEM222
ENSG00000142765	protein_coding	SYTL1
ENSG00000142733	protein_coding	MAP3K6
ENSG00000142748	protein_coding	FCN3
ENSG00000174950	protein_coding	CD164L2
ENSG00000181773	protein_coding	GPR3
ENSG00000158195	protein_coding	WASF2
ENSG00000241169	lncRNA	FO393419.2
ENSG00000237429	lncRNA	BX293535.1
ENSG00000126705	protein_coding	AHDC1
ENSG00000000938	protein_coding	FGR
ENSG00000233975	lncRNA	LINC02574
ENSG00000126709	protein_coding	IFI6
ENSG00000225886	lncRNA	AL445490.1
ENSG00000287244	lncRNA	AL020997.5
ENSG00000009780	protein_coding	FAM76A
ENSG00000117758	protein_coding	STX12
ENSG00000269971	lncRNA	AL020997.2
ENSG00000270031	lncRNA	AL020997.3
ENSG00000286433	lncRNA	AL020997.4
ENSG00000117751	protein_coding	PPP1R8
ENSG00000130775	protein_coding	THEMIS2
ENSG00000117748	protein_coding	RPA2
ENSG00000130768	protein_coding	SMPDL3B
ENSG00000227050	lncRNA	AL512288.1
ENSG00000158156	protein_coding	XKR8
ENSG00000158161	protein_coding	EYA3
ENSG00000169403	protein_coding	PTAFR
ENSG00000126698	protein_coding	DNAJC8
